C04421,208
C18664,154
C11631,563
C19119,1314
C14871,769
C00130,215
C18951,1956
C18499,934
C17934,1889
C02838,2092
C01746,1048
C16928,3586
C03068,728
C14872,273
C04478,161
C01596,138
C03929,1872
C17221,1075
C07195,246
C07571,2125
C17532,485
C18787,2943
C06184,1911
C08333,797
C17206,731
C14713,474
C19325,2043
C07999,519
C03539,151
C18582,2110
C03274,131
C11811,263
C14700,365
C08496,750
C03492,417
C16692,1930
C11711,296
C09573,1057
C10755,2013
C14311,2092
C01962,172
C15996,225
C06751,1259
C15383,182
C00939,1492
C13355,1295
C19013,1789
C19137,133
C03901,202
C09265,1073
C20234,214
